method,cluster_std,n_clusters,ari_mean,ari_std,nmi_mean,nmi_std,sse_mean,sse_std,steps_mean,steps_std,collapsed_rate
inertia_repulsion,0.3,4,0.8662705312781408,0.1793892000255019,0.9286695908727511,0.09587913361718489,856.1199432818296,1088.2629724962067,26.5,4.376662245797945,0.0
inertia_repulsion,0.3,5,0.6905312763719568,0.14489220233632588,0.8518046593530585,0.08486533476427123,2902.677958209483,1899.3469055313537,25.766666666666666,4.376136962281194,0.0
inertia_repulsion,0.6,3,0.868244212078385,0.0028510630964963643,0.9039777359657732,0.004419914368044169,487.0236245817534,17.198913032568466,24.7,3.052980454436683,0.0
inertia_repulsion,0.6,4,0.8373675674672033,0.2146278655302563,0.909842143054871,0.12382969975562116,1758.5640286977755,1821.0720389300845,25.266666666666666,3.999425246063561,0.0
inertia_repulsion,0.6,5,0.7202816928185121,0.15093043669848713,0.8659696310481841,0.10292014295689038,3257.7645421474217,1851.204378905935,25.133333333333333,3.7021273784726505,0.0
inertia_repulsion,0.9,3,0.863678791728857,0.016287817745665047,0.8974042966293474,0.023016665399064815,1087.869469697477,37.66641317452469,24.8,2.9172495312513473,0.0
inertia_repulsion,0.9,4,0.8566511470181073,0.2086114087167416,0.9156709091441099,0.12109479961222423,2401.1221597981184,1729.170222045131,25.833333333333332,4.026492726699121,0.0
inertia_repulsion,0.9,5,0.7464464346688994,0.0990141437574783,0.8804814092350116,0.062043520895615295,3956.5665759752583,1179.6155884372552,26.066666666666666,2.0667037445691365,0.0
repulsion,0.3,3,0.8375029905431535,0.11980165070456945,0.8852071248208729,0.07589911540885348,320.5808846777819,755.2502817788614,30.0,0.0,0.0
repulsion,0.3,4,0.8004001083521834,0.21510209364684504,0.8903114784984265,0.12330699820951219,1559.1431017527932,1846.2955078414905,17.0,13.240481291387646,0.0
repulsion,0.3,5,0.6497077042422341,0.17863551292084637,0.824155326923254,0.11547435735182167,3466.6557906459784,2500.538357505562,14.233333333333333,13.114044415036128,0.0
repulsion,0.6,3,0.852487571658165,0.0858968547674895,0.8940018127994674,0.05445582602494477,566.0452263895951,437.4583442309628,25.033333333333335,5.726425937964142,0.0
repulsion,0.6,4,0.8249939784476177,0.21556228578091308,0.9032055877528227,0.12412354517607467,1918.7101514506605,1875.833764348185,13.733333333333333,11.14770220125278,0.0
repulsion,0.6,5,0.6963836003623294,0.16749534815373734,0.8523143633812075,0.11031970012139009,3719.945383791244,2275.1385144248443,9.533333333333333,9.961073662299015,0.0
repulsion,0.9,3,0.863653025418759,0.01627769030024438,0.8973925905082034,0.02301237975878174,1088.1396317342162,38.00064690346914,23.8,5.390924685572712,0.0
repulsion,0.9,4,0.8441188673765657,0.21098356460416878,0.9089618371561095,0.12183636194097427,2526.033847448377,1798.6185726809474,12.8,10.713832502729904,0.0
repulsion,0.9,5,0.7463955176372855,0.09918412720689333,0.8802773744218719,0.061988862565331725,4058.2617941967114,1382.6961964158654,8.2,7.581283668941923,0.0
