seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
24,3,80,6,0.3,0.86969451649677,0.9054730036808499,128.43528215966887,24,True,0.00013084931070857215,0.0,4,30,1.0,1.0,0.5,0.0,inertia
25,3,80,6,0.3,0.8686634135860875,0.9050058388891631,135.06351067585553,26,True,9.584384356287866e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
26,3,80,6,0.3,0.8686634135860875,0.9050058388891631,128.5674739562941,21,True,0.00040773490390298375,0.0,4,30,1.0,1.0,0.5,0.0,inertia
27,3,80,6,0.3,0.86969451649677,0.9054730036808499,129.15208154761547,26,True,8.841100243768739e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
28,3,80,6,0.3,0.8714114890144744,0.9062553169812129,127.95881166258562,24,True,0.00014841412935793547,0.0,4,30,1.0,1.0,0.5,0.0,inertia
29,3,80,6,0.3,0.8686634135860875,0.9050058388891631,128.18619894866325,24,True,0.00013273505379415282,0.0,4,30,1.0,1.0,0.5,0.0,inertia
0,3,80,6,0.3,0.868405530011043,0.904889305927475,122.4348744359159,30,False,1.075032943715064,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
1,3,80,6,0.3,0.8714114890144744,0.9062553169812129,130.4576894915209,30,False,1.248577926826966,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
2,3,80,6,0.3,0.86969451649677,0.9054730036808499,126.24856420749184,30,False,1.08911720936002,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
3,3,80,6,0.3,0.8686634135860875,0.9050058388891631,125.79982330811299,30,False,0.9285515193329215,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
4,3,80,6,0.3,0.86969451649677,0.9054730036808499,122.84792154127383,30,False,1.140143691385841,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
5,3,80,6,0.3,0.86969451649677,0.9054730036808499,121.66943145088305,30,False,0.9567366271720816,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
6,3,80,6,0.3,0.8683195592286501,0.9048504844691445,120.70481451202362,30,False,1.1856150116283206,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
7,3,80,6,0.3,0.86969451649677,0.9054730036808499,122.11468494944539,30,False,1.1042846672252518,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
8,3,80,6,0.3,0.86969451649677,0.9054730036808499,125.55721691731142,30,False,0.31669522726932675,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
9,3,80,6,0.3,0.8683195592286501,0.9048504844691445,131.62436445266295,30,False,1.0598144936503877,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
10,3,80,6,0.3,0.868405530011043,0.904889305927475,116.64075710590726,30,False,1.0435270048016296,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
11,3,80,6,0.3,0.8686634135860875,0.9050058388891631,128.05859502420577,30,False,0.9953817889211749,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
12,3,80,6,0.3,0.8683195592286501,0.9048504844691445,124.94653511465779,30,False,0.9292017144282786,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
13,3,80,6,0.3,0.868405530011043,0.904889305927475,120.33036112856061,30,False,1.0515691598956356,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
14,3,80,6,0.3,0.868405530011043,0.904889305927475,127.35097224255256,30,False,0.9144382281612647,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
15,3,80,6,0.3,0.8686634135860875,0.9050058388891631,123.88271165245769,30,False,0.9246622904744456,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
16,3,80,6,0.3,0.868405530011043,0.904889305927475,132.36609930742583,30,False,1.154434556315039,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
17,3,80,6,0.3,0.3969189544897196,0.606064796227116,2534.746367831839,30,False,1.0308726315221255,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
18,3,80,6,0.3,0.86969451649677,0.9054730036808499,130.98460164939453,30,False,0.8985319706514601,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
19,3,80,6,0.3,0.3966634205177326,0.6059259373745206,3572.010719573268,30,False,1.1025431875282108,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
20,3,80,6,0.3,0.8683195592286501,0.9048504844691445,121.54402310283564,30,False,0.9237910455364591,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
21,3,80,6,0.3,0.86909312366145,0.9052002896311648,120.89435431194357,30,False,0.9210402249326437,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
